LID,GID,NAME,SERVICE,BOOKABLE_DAYS
JMHH,1,Huntsman,wharton,7
20157,42437,Amy Gutmann Hall,penngroups,4
ARB,6,Academic Research,wharton,7
3620,6102,Albrecht Music Library,libcal,7
2634,1914,Penn Museum Library,libcal,7
1086,1889,Weigle,libcal,7
2495,1886,Education Commons,libcal,7
2587,4368,Lippincott,libcal,7
4370,7426,Perelman Center,libcal,7
1086,4660,VP Ground Floor,libcal,7
1090,1909,Levin Building,libcal,7
2683,1885,Biotech Commons,libcal,7
1086,4659,VP 3rd Floor,libcal,7
1086,1891,VP 4th Floor,libcal,7